Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\obj\x64\Release\CustomControls\LogViewer.g.cs,40,82,T:System.Windows.Markup.IComponentConnector,,,,,IComponentConnector
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\obj\x64\Release\CustomControls\LogViewer.g.cs,40,52,T:System.Windows.Window,,,,,Window
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\obj\x64\Release\CustomControls\ProgressBarWithTextControl.g.cs,82,12,T:System.Windows.Controls.ProgressBar,,,,,this.pbStatus = ((System.Windows.Controls.ProgressBar)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\obj\x64\Release\CustomControls\ProgressBarWithTextControl.g.cs,66,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\obj\x64\Release\CustomControls\ProgressBarWithTextControl.g.cs,66,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\obj\x64\Release\CustomControls\ProgressBarWithTextControl.g.cs,62,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/Siemens.Simatic.S7.Webserver.API.WebApplicationManager;component/customcontrols/"" +                      ""progressbarwithtextcontrol.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\obj\x64\Release\CustomControls\ProgressBarWithTextControl.g.cs,62,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/Siemens.Simatic.S7.Webserver.API.WebApplicationManager;component/customcontrols/"" +                      ""progressbarwithtextcontrol.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\obj\x64\Release\CustomControls\ProgressBarWithTextControl.g.cs,45,53,T:System.Windows.Controls.ProgressBar,,,,,pbStatus
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\ProgressBarWithTextControl.xaml.cs,44,12,P:System.Windows.FrameworkElement.DataContext,,,,,DataContext = this;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\ProgressBarWithTextControl.xaml.cs,41,8,M:System.Windows.Controls.UserControl.#ctor,,,,,public ProgressBarWithTextControl()          {              InitializeComponent();              DataContext = this;          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\ProgressBarWithTextControl.xaml.cs,35,20,T:System.Windows.Controls.ProgressBar,,,,,pbStatus.Value = value?.Value ?? 0;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\ProgressBarWithTextControl.xaml.cs,35,20,P:System.Windows.Controls.Primitives.RangeBase.Value,,,,,pbStatus.Value = value?.Value ?? 0;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\ProgressBarWithTextControl.xaml.cs,33,16,T:System.Windows.Controls.ProgressBar,,,,,if (pbStatus != null)                  {                      pbStatus.Value = value?.Value ?? 0;                  }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\WebAppManager\Webserver.API.WebApplicationManager.csproj,File,src\WebAppManager\CustomControls\ProgressBarWithTextControl.xaml.cs,15,50,T:System.Windows.DependencyProperty,,,,,"ProgressBarValueProperty =              DependencyProperty.Register(""ProgressBarValue"",                  typeof(ProgressBarValue),                  typeof(ProgressBarWithTextControl))"
